_id,alumno_id,curso_id,fecha_inicio,estado,porcentaje_progreso
d67a635a2d6dd0571a2e5328,69da83d24fd7e59767eb9621,6fe0c0e9afc44612ed756bdd,2023-06-18T00:00:00.000Z,abandonada,15.0
6c161f3e399ee844c0fdee98,69da83d24fd7e59767eb969a,6b641b3bab20dd488546a1a9,2023-03-28T00:00:00.000Z,activa,30.1
4edcb135fd927b760d531b8e,69da83d24fd7e59767eb9649,42b3f6d67c62ada63f6f6fec,2023-08-19T00:00:00.000Z,activa,49.1
c511fad198e5d461bd147539,69da83d24fd7e59767eb9640,a0a54ad3e1002d12d3234519,2023-11-02T00:00:00.000Z,abandonada,50.1
7a9578c54bc87be3e574b456,69da83d24fd7e59767eb969b,f8a7569334f31369cc4bbeef,2022-06-11T00:00:00.000Z,completada,100.0
567d7e7dc18fb724007f4d85,69da83d24fd7e59767eb969b,a998e2dff83012bf1e06c1e7,2022-11-06T00:00:00.000Z,activa,52.7
89a54d63bc9900c22944e4a2,69da83d24fd7e59767eb969b,fce5f1fb5efddb1813717a36,2023-11-10T00:00:00.000Z,activa,22.9
e6834ff64e1ecf5827fa2202,69da83d24fd7e59767eb964b,e37812c408ee1fd044590643,2022-05-24T00:00:00.000Z,completada,100.0
3b0f98d711230e72e7c8a43d,69da83d24fd7e59767eb964b,d3ae6bf99404105b459e66c4,2022-04-14T00:00:00.000Z,completada,100.0
daf8c02d776518fd9e2c0a76,69da83d24fd7e59767eb964b,08e51043b83b755ee65174bb,2023-05-16T00:00:00.000Z,abandonada,25.2
b8d607a28fbe238fab0ce630,69da83d24fd7e59767eb9647,fe4c528e4224d60d2936619a,2023-08-19T00:00:00.000Z,completada,100.0
c3ae59c4737b8de5362c7c4b,69da83d24fd7e59767eb9640,94f770ec20ba8120c3cc2246,2023-11-13T00:00:00.000Z,activa,73.8
f9c0872713d4b5fb4e82fe9e,69da83d24fd7e59767eb9623,fc661ce144868e048cfdd13a,2022-11-14T00:00:00.000Z,abandonada,15.8
0c1f5e3f79be6a68d1125b76,69da83d24fd7e59767eb9623,b349db16cd5eef89649b3417,2022-07-06T00:00:00.000Z,activa,41.9
